,Opening,Opening.1,Title,Director,Cast,Genre,Source
62,MAY,9.0,Yeh Hai Bakrapur,Janaki Vishwanathan,"Anshuman Jha, Asif Basra, Amit Sial, Uttkarsh Majumdar, Faiz Mohammad, Suruchi Aulakh, Yaushika Verma, Shamim Khan",Comedy,[73]
63,MAY,16.0,The Xposé,Ananth Narayan Mahadevan,"Himesh Reshammiya, Sonali Raut, Yo Yo Honey Singh, Zoya Afroz, Irrfan Khan. Adil Hussain",Thriller,[74]
64,MAY,16.0,Children of War,Mrityunjay Devvrat,"Farooq Shaikh, Victor Banerjee, Pawan Malhotra, Indraneil Sengupta",Drama,[75]
65,MAY,16.0,M3 - Midsummer Midnight Mumbai,Braj Bhushan,"Paras Chhabra, Sara Khan, M.A. Guddu, Pooja Thakur",Mystery,[76]
66,MAY,23.0,Heropanti,Sabbir Khan,"Tiger Shroff, Kriti Sanon & Prakash Raj",Romance/Action,[77]
67,MAY,30.0,CityLights,Hansal Mehta,"Rajkummar Rao, Patralekha",Drama,[78]
68,MAY,30.0,Kuku Mathur Ki Jhand Ho Gayi,Aman Sachdeva,"Siddharth Gupta, Simran Kaur Mundi, Pallavi Batra",Comedy,[79]
69,JUN,6.0,Filmistaan,Nitin Kakkar,"Sharib Hashmi, Inaamulhaq, Kumud Mishra, Gopal Dutt",Comedy,[80]
70,JUN,6.0,Holiday: A Soldier Is Never Off Duty,A.R. Murugadoss,"Akshay Kumar, Sonakshi Sinha, Govinda",Action/Thriller,[81]
71,JUN,13.0,Fugly,Kabir Sadanand,"Jimmy Sheirgill, Mohit Marwah, Kiara Advani, Vijender Singh, Arfi Lamba",Comedy/Drama,[82]
72,JUN,13.0,Machhli Jal Ki Rani Hai,Debaloy Dey,"Bhanu Uday, Swara Bhaskar, Murali Sharma, Reema Debnath, Sakha Kalyani Deepraj Rana",Horror,[83]
73,JUN,20.0,Humshakals,Sajid Khan,"Saif Ali Khan, Esha Gupta, Riteish Deshmukh, Bipasha Basu, Ram Kapoor, Tamannaah Bhatia",Comedy/Drama/Romance,[84]
74,JUN,27.0,Ek Villain,Mohit Suri,"Sidharth Malhotra, Riteish Deshmukh, Shraddha Kapoor, Aamna Sharif",Romance/Thriller,[85]
75,JUN,,,,,,
76,JUN,,,,,,
77,JUN,,,,,,
78,JUN,,,,,,
79,JUN,,,,,,
80,JUN,,,,,,
81,JUN,,,,,,
82,JUN,,,,,,
83,JUN,,,,,,
84,JUN,,,,,,
