,Title,Production company,Cast and crew,genres
249,Mowgli: Legend of the Jungle,Netflix / Warner Bros. Pictures,"Andy Serkis (director); Callie Kloves (screenplay); Rohan Chand, Christian Bale, Cate Blanchett, Benedict Cumberbatch, Andy Serkis, Matthew Rhys, Freida Pinto, Naomie Harris",Adventure Drama
250,The Possession of Hannah Grace,Screen Gems,"Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell, Grey Damon, Kirby Johnson, Stana Katic",Horror Drama
251,Anna and the Apocalypse,Orion Pictures,"John McPhail (director); Alan McDonald, Ryan McHenry (screenplay); Ella Hunt, Malcolm Cumming, Marli Siu, Sarah Swire, Christopher Leveaux, Ben Wiggins",Horror Comedy Fantasy
252,Capernaum,Sony Pictures Classics,"Nadine Labaki (director/screenplay); Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawthar Al Haddad",Drama
253,Mary Queen of Scots,Focus Features / Working Title Films,"Josie Rourke (director); Beau Willimon (screenplay); Saoirse Ronan, Margot Robbie, Jack Lowden, Joe Alwyn, David Tennant, Guy Pearce",Drama History
254,Ben Is Back,LD Entertainment / Lionsgate / Roadside Attractions,"Peter Hedges (director/screenplay); Lucas Hedges, Julia Roberts, Kathryn Newton, Courtney B. Vance",Drama
255,Spider-Man: Into the Spider-Verse,Columbia Pictures / Marvel Entertainment / Sony Pictures Animation,"Bob Persichetti, Peter Ramsey, Rodney Rothman (directors); Phil Lord, Rodney Rothman (screenplay); Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Luna Lauren Velez, Lily Tomlin, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine",Action Adventure Animation Science Fiction Comedy
256,Mortal Engines,Universal Pictures / Media Rights Capital / WingNut Films,"Christian Rivers (director); Peter Jackson, Fran Walsh, Philippa Boyens (screenplay); Hugo Weaving, Hera Hilmar, Robert Sheehan, Jihae, Ronan Raftery, Leila George, Patrick Malahide, Stephen Lang",Adventure Science Fiction
257,The Mule,Warner Bros. Pictures,"Clint Eastwood (director); Nick Schenk (screenplay); Clint Eastwood, Bradley Cooper, Laurence Fishburne, Michael Peña, Dianne Wiest, Andy Garcia",Crime Drama Thriller
258,If Beale Street Could Talk,Annapurna Pictures / Plan B Entertainment,"Barry Jenkins (director/screenplay); Kiki Layne, Stephan James, Teyonah Parris, Regina King, Dave Franco, Ed Skrein, Diego Luna, Emily Rios",Romance Drama
259,Mary Poppins Returns,Walt Disney Pictures,"Rob Marshall (director); David Magee (screenplay); Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Colin Firth, Meryl Streep, Dick Van Dyke, Angela Lansbury",Fantasy Family Comedy
260,Aquaman,Warner Bros. Pictures / DC Films,"James Wan (director); David Leslie Johnson-McGoldrick, Will Beall (screenplay); Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Dolph Lundgren, Yahya Abdul-Mateen II, Ludi Lin, Temuera Morrison, Nicole Kidman",Action Adventure Fantasy
261,Bumblebee,Paramount Pictures / Allspark Pictures / Tencent Pictures,"Travis Knight (director); Christina Hodson (screenplay); Hailee Steinfeld, John Cena, Jorge Lendeborg Jr., John Ortiz, Jason Drucker, Pamela Adlon, Dylan O'Brien, Angela Bassett, Justin Theroux, Peter Cullen, Andrew Morgado",Action Adventure Science Fiction
262,Welcome to Marwen,Universal Pictures / DreamWorks Pictures / ImageMovers,"Robert Zemeckis (director/screenplay); Caroline Thompson (screenplay); Steve Carell, Leslie Mann, Diane Kruger, Falk Hentschel, Janelle Monáe, Eiza González, Gwendoline Christie",Drama Comedy Fantasy
263,Second Act,STX Entertainment,"Peter Segal (director); Elaine Goldsmith-Thomas, Justin Zackham (screenplay); Jennifer Lopez, Leah Remini, Vanessa Hudgens, Treat Williams, Milo Ventimiglia",Romance Comedy
264,Cold War,Amazon Studios,"Paweł Pawlikowski (director); Paweł Pawlikowski, Janusz Głowacki (screenplay); Joanna Kulig, Tomasz Kot, Agata Kulesza",Animation
265,Holmes & Watson,Columbia Pictures / Gary Sanchez Productions,"Etan Cohen (director/screenplay); Will Ferrell, John C. Reilly, Rebecca Hall, Ralph Fiennes, Rob Brydon, Kelly Macdonald, Steve Coogan, Lauren Lapkus, Pam Ferris, Hugh Laurie",Mystery Adventure Comedy Crime
266,Vice,Annapurna Pictures / Plan B Entertainment,"Adam McKay (director/screenplay); Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Tyler Perry, Alison Pill, Lily Rabe, Jesse Plemons",Drama History Comedy
267,On the Basis of Sex,Focus Features,"Mimi Leder (director); Daniel Stiepleman (screenplay); Felicity Jones, Armie Hammer, Justin Theroux, Jack Reynor, Cailee Spaeny, Sam Waterston, Kathy Bates",Drama History
268,Destroyer,Annapurna Pictures,"Karyn Kusama (director); Phil Hay, Matt Manfredi (screenplay); Nicole Kidman, Sebastian Stan, Toby Kebbell, Tatiana Maslany, Bradley Whitford, Jade Pettyjohn, Scoot McNairy",Thriller Crime Drama Action
269,Black Mirror: Bandersnatch,Netflix,"David Slade (director); Charlie Brooker (screenplay); Fionn Whitehead, Will Poulter, Asim Chaudhry, Craig Parkinson, Alice Lowe, Tallulah Haddon, Catriona Knox, Jonathan Aris",Science Fiction Mystery Drama Thriller TV Movie
270,Escape Room,Columbia Pictures,"Adam Robitel (director); Bragi F. Schut, Maria Melnik (screenplay); Taylor Russell, Logan Miller, Deborah Ann Woll, Tyler Labine, Jay Ellis, Nik Dodani, Yorick van Wageningen",Horror Thriller Mystery
271,Rust Creek,IFC Films,"Jen McGowan (director); Julie Lipson (screenplay); Hermione Corfield, Jay Paulson, Sean O'Bryan, Micah Hauptman",Thriller Drama
272,American Hangman,Hangman Justice Productions,"Wilson Coneybeare (director/screenplay); Donald Sutherland, Vincent Kartheiser, Oliver Dennis, Paul Braunstein",Thriller
273,A Dog's Way Home,Columbia Pictures,"Charles Martin Smith (director); W. Bruce Cameron (screenplay); Bryce Dallas Howard, Edward James Olmos, Alexandra Shipp, Ashley Judd, Jonah Haur-King, Wes Studi",Drama Adventure Family
274,The Upside,STX Entertainment,"Neil Burger (director); Jon Hartmere (screenplay); Bryan Cranston, Kevin Hart, Nicole Kidman",Comedy Drama
275,Replicas,Entertainment Studios,Jeffrey Nachmanoff (director); Chad St. John (screenplay); Keanu Reeves,Science Fiction Thriller
276,After Darkness,Grindstone Entertainment Group,"Batán Silva (director); Fernando Diez Barroso (screenplay); Natalia Dyer, Kyra Sedgwick, Tim Daly",Drama Family Thriller Science Fiction
277,Glass,Universal Pictures / Buena Vista International / Blumhouse Productions,"M. Night Shyamalan (director/screenplay); James McAvoy, Bruce Willis, Samuel L. Jackson, Sarah Paulson, Anya Taylor-Joy, Spencer Treat Clark, Charlayne Woodard",Thriller Drama Science Fiction
278,Close,Netflix,"Vicky Jewson (director); Vicky Jewson, Rupert Whitaker (screenplay); Noomi Rapace, Sophie Nélisse, Indira Varma, Eoin Macken",Action Thriller
279,The Standoff at Sparrow Creek,Cinestate,"Henry Dunham (director/screenplay); James Badge Dale, Brian Geraghty",Drama Thriller Mystery
280,The Final Wish,BondIt Media Capital / Global Renaissance Entertainment Group,"Timothy Woodward Jr. (director); Jeffrey Reddick, William Halfon, Jonathan Doyle (screenplay); Lin Shaye, Michael Welch, Melissa Bolona, Spencer Locke, Tony Todd",Horror
281,The Kid Who Would Be King,20th Century Fox / TSG Entertainment / Working Title Films,"Joe Cornish (director/screenplay); Louis Ashbourne Serkis, Dean Chaumoo, Tom Taylor, Rhianna Doris, Angus Imrie, Rebecca Ferguson, Patrick Stewart",Action Adventure Fantasy Family
282,Serenity,Aviron Pictures / Global Road Entertainment,"Steven Knight (director/screenplay); Matthew McConaughey, Anne Hathaway, Jason Clarke, Diane Lane, Djimon Hounsou",Thriller Mystery Drama
283,I Am Mother,Netflix,"Grant Sputore (director), Michael Lloyd Green (screenplay/story), Clara Rugaard, Rose Byrne, Hilary Swank",Science Fiction Thriller
284,The Vast of Night,GED Cinema,"Andrew Patterson (director), James Montague, Craig W. Sanger (writers); Sierra McCormick, Jake Horowitz",Mystery Science Fiction Thriller
285,Miss Bala,Columbia Pictures,"Catherine Hardwicke (director); Gareth Dunnet-Alcocer (screenplay); Gina Rodriguez, Ismael Cruz Córdova, Anthony Mackie",Action
286,Velvet Buzzsaw,Netflix,"Dan Gilroy (director/screenplay); Jake Gyllenhaal, Rene Russo, Toni Collette, Zawe Ashton, Tom Sturridge, Natalia Dyer, Daveed Diggs, Billy Magnussen, John Malkovich",Thriller Mystery Horror
287,Piercing,Universal Pictures,"Nicolas Pesce (director/screenplay); Christopher Abbott, Mia Wasikowska, Laia Costa, Maria Dizzia, Marin Ireland, Wendell Pierce",Thriller Horror Mystery
288,The Lego Movie 2: The Second Part,Warner Bros. Pictures / Warner Animation Group,"Mike Mitchell (director); Phil Lord, Christopher Miller (screenplay); Chris Pratt, Elizabeth Banks, Tiffany Haddish, Will Arnett, Stephanie Beatriz, Charlie Day, Alison Brie, Nick Offerman, Maya Rudolph",Action Adventure Animation Comedy Family
289,What Men Want,Paramount Players / Will Packer Productions,"Adam Shankman (director); Tina Gordon Chism (screenplay); Taraji P. Henson, Tracy Morgan, Max Greenfield, Aldis Hodge, Wendi McLendon-Covey",Comedy Romance
290,Cold Pursuit,Summit Entertainment / StudioCanal,"Hans Petter Moland (director); Frank Baldwin (screenplay); Liam Neeson, Tom Bateman, Tom Jackson, Emmy Rossum, Domenick Lombardozzi, Julia Jones, John Doman, Laura Dern",Action Crime Thriller
291,High Flying Bird,Netflix / Extension 765,"Steven Soderbergh (director); Tarell Alvin McCraney (screenplay); André Holland, Zazie Beetz, Melvin Gregg, Sonja Sohn, Zachary Quinto, Kyle MacLachlan, Bill Duke",Drama
292,The Prodigy,Orion Pictures / XYZ Films,"Nicholas McCarthy (director); Jeff Buhler (screenplay); Taylor Schilling, Peter Mooney, Colm Feore",Horror Thriller
293,Isn't It Romantic,Warner Bros. Pictures / New Line Cinema / Netflix / Bron Creative,"Todd Strauss-Schulson (director); Erin Cardillo, Dana Fox, Katie Silberman (screenplay); Rebel Wilson, Liam Hemsworth, Adam DeVine, Priyanka Chopra, Betty Gilpin, Brandon Scott Jones",Comedy Fantasy Romance
294,Happy Death Day 2U,Universal Pictures / Blumhouse Productions,"Christopher Landon (director/screenplay); Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma, Sarah Yarkin, Ruby Modine, Rachel Matthews, Charles Aitken, Steve Zissis",Comedy Horror Science Fiction
295,Alita: Battle Angel,20th Century Fox / Lightstorm Entertainment / TSG Entertainment,"Robert Rodriguez (director); James Cameron, Laeta Kalogridis (screenplay); Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Leonard Wu",Action Science Fiction Adventure
296,How to Train Your Dragon: The Hidden World,Universal Pictures / DreamWorks Animation,"Dean DeBlois (director/screenplay); Jay Baruchel, America Ferrera, Cate Blanchett, Craig Ferguson, F. Murray Abraham",Animation Family Adventure
297,Fighting with My Family,Metro-Goldwyn-Mayer,"Stephen Merchant (director/screenplay); Florence Pugh, Lena Headey, Nick Frost, Jack Lowden, Vince Vaughn, Dwayne Johnson",Comedy
298,Tyler Perry's A Madea Family Funeral,Lionsgate,"Tyler Perry (director); Jason Rogers (screenplay); Tyler Perry, Courtney Burrell, Patrice Lovely",Comedy
299,Greta,Focus Features,"Neil Jordan (director/screenplay); Ray Wright (screenplay); Isabelle Huppert, Chloë Grace Moretz, Maika Monroe, Colm Feore, Stephen Rea",Drama Mystery Thriller Horror
300,Triple Frontier,Netflix,"J. C. Chandor (director/screenplay); Mark Boal (screenplay); Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund, Pedro Pascal",Action Thriller Crime Adventure
301,Captain Marvel,Marvel Studios,"Anna Boden, Ryan Fleck (directors/screenplay); Geneva Robertson-Dworet (screenplay); Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law",Action Adventure Science Fiction
302,The Kid,Lionsgate Films,"Vincent D'Onofrio (director); Andrew Lanham (screenplay); Ethan Hawke, Dane DeHaan, Jake Schur, Leila George, Adam Baldwin, Chris Pratt",Fantasy Comedy Family
303,Wonder Park,Paramount Pictures / Paramount Animation / Nickelodeon Movies,"Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver",Comedy Animation Adventure Family Fantasy
304,Captive State,Focus Features / Participant Media,"Rupert Wyatt (director/screenplay); Erica Beeney (screenplay); John Goodman, Ashton Sanders, Jonathan Majors, Machine Gun Kelly, Vera Farmiga",Science Fiction
305,Nancy Drew and the Hidden Staircase,Warner Bros. Pictures / A Very Good Production,"Katt Shea (director); Nina Fiore, John Herrera (screenplay); Sophia Lillis, Zoe Renee, Mackenzie Graham, Laura Slade Wiggins, Sam Trammell, Linda Lavin",Crime Family Comedy Mystery
306,The Aftermath,Fox Searchlight Pictures,"James Kent (director); Joe Shrapnel, Anna Waterhouse (screenplay); Alexander Skarsgård, Keira Knightley, Jason Clarke",War Drama Romance
307,Five Feet Apart,Lionsgate / CBS Films,"Justin Baldoni (director); Mikki Daughtry, Tobias Iaconis (screenplay); Cole Sprouse, Haley Lu Richardson",Romance Drama
308,The Highwaymen,Netflix,"John Lee Hancock (director); John Fusco (screenplay); Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch, Kim Dickens, Thomas Mann, William Sadler",Crime Drama Thriller
309,Red 11,Double R,"Robert Rodriguez (director/screenplay); Racer Rodriguez (screenplay); Roby Attal, Lauren Hatfield, Alejandro Rose Garcia, Brently Heilbron, Katherine Willis, Carlos Gallardo",Thriller Science Fiction
310,Never Grow Old,Saban Films / Canal+ / Ciné+,"Ivan Kavanagh (director/screenplay); Emile Hirsch, Tim Ahern, Déborah François, John Cusack, Danny Webb, Sam Louwyck",Western
311,Triple Threat,WWE Studios / TF1 Séries Films / Ingenious Media,"Jesse V. Johnson (director); Dwayne Smith (screenplay); Tony Jaa, Iko Uwais, Tiger Chen, Scott Adkins, Yanin Vismitananda, Celina Jade, Michael Bisping, Michael Jai White",Thriller Action
312,Us,Universal Pictures / Monkeypaw Productions / Perfect World Pictures,"Jordan Peele (director/screenplay); Lupita Nyong'o, Winston Duke, Shahadi Wright Joseph, Evan Alex, Elisabeth Moss, Tim Heidecker",Thriller Horror Mystery
313,Hotel Mumbai,Thunder Road Pictures / Arclight Films,"Anthony Maras (director/screenplay); John Collee (screenplay); Dev Patel, Armie Hammer, Nazanin Boniadi, Tilda Cobham-Hervey, Anupam Kher, Jason Isaacs",Thriller History Drama Action
314,The Dirt,Netflix,"Jeff Tremaine (director): Tom Kapinos, Amanda Adelson, Rich Wilkes (screenplay); Douglas Booth, Iwan Rheon, Machine Gun Kelly, Daniel Webber",Drama Music History
315,Dragged Across Concrete,Cinestate,"S. Craig Zahler (director/screenplay); Mel Gibson, Vince Vaughn, Michael Jai White",Crime Action Thriller
316,Dumbo,Walt Disney Pictures,"Tim Burton (director); Ehren Kruger (screenplay); Colin Farrell, Michael Keaton, Danny DeVito, Eva Green, Nico Parker, Finley Hobbins, Alan Arkin, Roshan Seth, Lars Eidinger, DeObia Oparei",Animation Family
317,The Beach Bum,Neon,"Harmony Korine (director/screenplay); Matthew McConaughey, Zac Efron, Jonah Hill, Isla Fisher, Jimmy Buffett, Snoop Dogg, Martin Lawrence",Comedy
318,Unplanned,Pure Flix,"Chuck Konzelman, Cary Soloman (director/screenplay); Ashley Bratcher, Brooks Ryan, Robia Scott",Drama
319,Shazam!,Warner Bros. Pictures / New Line Cinema / DC Films,"David F. Sandberg (director); Henry Gayden (screenplay); Zachary Levi, Asher Angel, Mark Strong, Jack Dylan Grazer, Djimon Hounsou",Action Comedy Fantasy
320,Pet Sematary,Paramount Pictures,"Kevin Kolsch, Dennis Widmyer (directors); Jeff Buhler (screenplay); Jason Clarke, Amy Seimetz, John Lithgow",Horror
321,The Best of Enemies,STX Entertainment,"Robin Bissell (director/screenplay); Taraji P. Henson, Sam Rockwell",Drama History
322,High Life,A24 / Arte / ZDF / Canal+ / Ciné+,"Claire Denis (director/screenplay); Jean-Pol Fargeau (screenplay); Robert Pattinson, Juliette Binoche, André Benjamin, Mia Goth",Science Fiction Drama Mystery Thriller
323,Unicorn Store,Netflix,"Brie Larson (director); Samantha McIntyre (screenplay); Brie Larson, Samuel L. Jackson, Joan Cusack, Bradley Whitford, Mamoudou Athie, Mary Holland, Hamish Linklater",Fantasy Drama Comedy
324,The Haunting of Sharon Tate,Saban Films / Voltage Pictures,"Daniel Farrands (director/screenplay); Hilary Duff, Jonathan Bennett, Lydia Hearst, Pawel Szajda",Horror Thriller
325,The Wind,IFC Midnight,"Emma Tammi (director); Teresa Sutherland (screenplay); Caitlin Gerard, Ashley Zukerman, Julia Goldani Telles, Miles Anderson",Western Horror Thriller
326,The Silence,Netflix,"John R. Leonetti (director); Carey Van Dyke, Shane Van Dyke (screenplay); Kiernan Shipka, Stanley Tucci, Miranda Otto, John Corbett",Horror Drama Thriller Fantasy
327,Hellboy,Summit Entertainment / Millennium Films,"Neil Marshall (director); Andrew Cosby (screenplay); David Harbour, Milla Jovovich, Ian McShane, Sasha Lane, Daniel Dae Kim, Sophie Okonedo, Penelope Mitchell, Thomas Haden Church",Fantasy Action Adventure Science Fiction
328,Little,Universal Pictures / Legendary Pictures / Will Packer Productions,"Tina Gordon (director); Camilla Blackett (screenplay); Issa Rae, Regina Hall, Marsai Martin",Animation Family Fantasy Comedy Music Adventure
329,Missing Link,Annapurna Pictures / Laika,"Chris Butler (director/screenplay); Hugh Jackman, Zach Galifianakis, Zoe Saldana, Emma Thompson, Stephen Fry, David Walliams, Timothy Olyphant, Matt Lucas, Amrita Acharia",Family Animation Comedy Adventure Fantasy
330,After,Aviron Pictures / Voltage Pictures,"Jenny Gage (director/screenplay); Susan McMartin, Tamara Chestna (screenplay); Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher",Romance Drama
331,Her Smell,Bow and Arrow Entertainment / Faliro House Productions,"Alex Ross Perry (director/screenplay); Elisabeth Moss, Cara Delevingne, Dan Stevens, Agyness Deyn, Gayle Rankin, Ashley Benson, Dylan Gelula, Virginia Madsen, Amber Heard",Drama Music
332,Breakthrough,20th Century Fox,"Roxann Dawson (director); Grant Nieporte (screenplay); Chrissy Metz, Josh Lucas, Topher Grace, Mike Colter, Marcel Ruiz, Sam Trammell, Dennis Haysbert",Drama
333,Penguins,Disneynature,"Alastair Fothergill (director), Jeff Wilson (co-director); Ed Helms",Family Animation Adventure Comedy
334,The Curse of La Llorona,Warner Bros. Pictures / New Line Cinema,"Michael Chaves (director); Mikki Daughtry, Tobias Iaconis (screenplay); Linda Cardellini, Raymond Cruz, Patricia Velasquez",Horror Thriller
335,Under the Silver Lake,A24,"David Robert Mitchell (director/screenplay); Andrew Garfield, Riley Keough, Topher Grace",Crime Drama Mystery
336,Family,Stage 6 Films / Naegle Ink,"Laura Steinel (director/screenplay); Taylor Schilling, Brian Tyree Henry, Bryn Vale, Allison Tolman, Kate McKinnon",Animation Comedy Family
337,Fast Color,Codeblack Films,"Julia Hart (director/screenplay); Jordan Horowitz (screenplay); Gugu Mbatha-Raw, Lorraine Toussaint, Saniyya Sidney, Christopher Denham, David Strathairn",Thriller Drama Science Fiction
338,Someone Great,Netflix,"Jennifer Kaytin Robinson (director/screenplay); Gina Rodriguez, Brittany Snow, DeWanda Wise",Comedy Romance
339,I Spit on Your Grave: Deja Vu,Deja Vu LLC,"Meir Zarchi (director/screenplay); Camille Keaton, Maria Olsen, Meir Zarchi",Horror Thriller
340,Avengers: Endgame,Marvel Studios,"Anthony and Joe Russo (directors); Christopher Markus and Stephen McFeely (screenplay); Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Brie Larson, Karen Gillan, Danai Gurira, Benedict Wong, Jon Favreau, Bradley Cooper, Gwyneth Paltrow, Josh Brolin",Adventure Science Fiction Action
341,I Trapped the Devil,IFC Midnight,"Josh Lobo (director/screenplay); A. J. Bowen, Scott Poythress, Susan Burke, Jocelin Donahue, Chris Sullivan",Horror
342,Body at Brighton Rock,SoapBox Films / ProtoStar Pictures,"Roxanne Benjamin (director/screenplay); Karina Fontes, Casey Adams, Emily Althaus, Martin Spanjers, Susan Burke, John Getz",Thriller
343,Buffaloed,Lost City / Blue Ice Pictures,"Tanya Wexler (director); Brian Sacca (screenplay); Zoey Deutch, Jermaine Fowler, Judy Greer, Jai Courtney",Comedy Drama Romance
344,Long Shot,Summit Entertainment / Good Universe / Point Grey Pictures,"Jonathan Levine (director); Dan Sterling (screenplay); Seth Rogen, Charlize Theron, O'Shea Jackson Jr., Andy Serkis, June Diane Raphael, Bob Odenkirk, Alexander Skarsgård",Comedy Romance
345,The Intruder,Screen Gems,"Deon Taylor (director); David Loughery (screenplay); Dennis Quaid, Michael Ealy, Meagan Good, Joseph Sikora",Thriller
346,UglyDolls,STX Entertainment / Reel FX Animation Studios,"Kelly Asbury (director); Alison Peck (screenplay); Kelly Clarkson, Pitbull, Nick Jonas, Wanda Sykes, Gabriel Iglesias, Blake Shelton, Janelle Monáe, Emma Roberts, Wang Leehom, Bebe Rexha, Charli XCX, Lizzo",Family Animation Comedy Adventure Fantasy Music
347,"Extremely Wicked, Shockingly Evil and Vile",Netflix / Sky Cinema,"Joe Berlinger (director); Michael Werwie (screenplay); Zac Efron, Lily Collins, Kaya Scodelario, John Malkovich, Jeffrey Donovan, Angela Sarafyan, Dylan Baker, Brian Geraghty, Jim Parsons, Haley Joel Osment",Thriller Crime Drama
348,The Last Summer,Netflix,"William Bindley (director); Scott Bindley; William Bindley (screenplay); KJ Apa, Maia Mitchell, Jacob Latimore, Halston Sage and Tyler Posey",Romance Comedy
349,Pokémon Detective Pikachu,Warner Bros. Pictures / Legendary Pictures / The Pokémon Company,"Rob Letterman (director/screenplay); Dan Hernandez, Benji Samit, Derek Connolly (screenplay); Ryan Reynolds, Justice Smith, Kathryn Newton, Suki Waterhouse, Omar Chaparro, Chris Geere, Ken Watanabe, Bill Nighy",Action Adventure Fantasy
350,The Hustle,Metro-Goldwyn-Mayer,"Chris Addison (director); Jac Schaeffer (screenplay); Anne Hathaway, Rebel Wilson, Alex Sharp, Dean Norris",Comedy
351,Tolkien,Fox Searchlight Pictures,"Dome Karukoski (director); David Gleeson, Stephen Beresford (screenplay); Nicholas Hoult, Lily Collins, Colm Meaney, Derek Jacobi",War Drama History Romance
352,Poms,STX Entertainment / Sierra/Affinity,"Zara Hayes (director/screenplay); Shane Atkinson (screenplay); Diane Keaton, Jacki Weaver, Pam Grier, Rhea Perlman, Celia Weston, Phyllis Somerville",Comedy Drama
353,The Professor and the Madman,Vertical Entertainment,"P.B. Shemran (director, screenplay); Todd Komarnicki (screenplay); Mel Gibson, Sean Penn, Natalie Dormer, Eddie Marsan, Jennifer Ehle, David O'Hara, Ioan Gruffudd, Stephen Dillane, Steve Coogan",Drama History Mystery Thriller
354,John Wick: Chapter 3 – Parabellum,Summit Entertainment,"Chad Stahelski (director); Derek Kolstad (screenplay); Keanu Reeves, Halle Berry, Laurence Fishburne, Mark Dacascos, Asia Kate Dillon, Lance Reddick, Anjelica Huston, Ian McShane",Action Thriller Crime
355,A Dog's Journey,Universal Pictures / Amblin Entertainment / Walden Media,"Gail Mancuso (director); W. Bruce Cameron, Cathryn Michon, Wally Wolodarsky, Maya Forbes (screenplay); Dennis Quaid, Josh Gad, Marg Helgenberger, Betty Gilpin, Kathryn Prescott, Henry Lau",Family Adventure Drama
356,The Sun Is Also a Star,Warner Bros. Pictures / Metro-Goldwyn-Mayer,"Ry Russo-Young (director); Tracy Oliver (screenplay); Yara Shahidi, Charles Melton, John Leguizamo",Romance Drama
357,The Professor,Open Road Films / Saban Films,"Wayne Roberts (director/screenplay); Johnny Depp, Rosemarie DeWitt, Danny Huston, Zoey Deutch, Ron Livingston, Odessa Young",Drama History Mystery Thriller
358,The Souvenir,A24,"Joanna Hogg (director/screenplay); Honor Swinton Byrne, Tom Burke, Tilda Swinton, Richard Ayoade",Drama
359,The Tomorrow Man,Bleecker Street,"Noble Jones (director, screenplay); John Lithgow, Blythe Danner, Derek Cecil, Katie Aselton, Sophie Thatcher, Eve Harlow",Drama Romance
360,Aladdin,Walt Disney Pictures,"Guy Ritchie (director/screenplay); John August (screenplay); Mena Massoud, Will Smith, Naomi Scott, Marwan Kenzari, Navid Negahban, Nasim Pedrad, Billy Magnussen, Numan Acar, Alan Tudyk, Frank Welker",Adventure Fantasy Romance Family
361,Brightburn,Screen Gems / Stage 6 Films,"David Yarovesky (director); Brian Gunn, Mark Gunn (screenplay); Elizabeth Banks, David Denman, Jackson A. Dunn, Matt Jones, Meredith Hagner",Horror Thriller Science Fiction
362,Booksmart,Annapurna Pictures / Gloria Sanchez Productions,"Olivia Wilde (director); Emily Halpern, Sarah Haskins, Katie Silberman, Susanna Fogel (screenplay); Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Noah Galvin, Billie Lourd, Lisa Kudrow, Will Forte, Jason Sudeikis",Comedy
363,The Perfection,Netflix / Miramax,"Richard Shepard (director/screenplay); Eric Charmelo, Nicole Snyder (screenplay); Allison Williams, Logan Browning, Steven Weber, Alaina Huffman",Horror Thriller Drama
364,Always Be My Maybe,Netflix,"Nahnatchka Khan (director); Ali Wong, Randall Park, Michael Golamco (screenplay); Ali Wong, Randall Park, Daniel Dae Kim, Keanu Reeves",Romance Comedy
365,Godzilla: King of the Monsters,Warner Bros. Pictures / Legendary Pictures,"Michael Dougherty (director/screenplay); Zach Shields, Max Borenstein (screenplay); Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Bradley Whitford, Sally Hawkins, Charles Dance, Thomas Middleditch, Aisha Hinds, O'Shea Jackson Jr., David Strathairn, Ken Watanabe, Zhang Ziyi",Science Fiction Action
366,Rocketman,Paramount Pictures / Marv Films,"Dexter Fletcher (director); Lee Hall (screenplay); Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard",Music Drama History
367,Ma,Universal Pictures / Blumhouse Productions,"Tate Taylor (director/screenplay); Scotty Landes (screenplay); Octavia Spencer, Juliette Lewis, Diana Silvers, McKaley Miller, Corey Fogelmanis, Luke Evans",Horror Thriller
368,Dark Phoenix,20th Century Fox / TSG Entertainment / Marvel Entertainment,"Simon Kinberg (director/screenplay); James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan, Alexandra Shipp, Kodi Smit-McPhee, Evan Peters, Jessica Chastain",Science Fiction Action Adventure
369,The Secret Life of Pets 2,Universal Pictures / Illumination,"Chris Renaud (director); Jonathan del Val (co-director); Brian Lynch (screenplay); Patton Oswalt, Eric Stonestreet, Kevin Hart, Jenny Slate, Tiffany Haddish, Lake Bell, Nick Kroll, Dana Carvey, Ellie Kemper, Chris Renaud, Hannibal Buress, Bobby Moynihan, Harrison Ford",Adventure Animation Comedy Family
370,Late Night,Amazon Studios,"Nisha Ganatra (director); Mindy Kaling (screenplay); Emma Thompson, Mindy Kaling, Max Casella, Hugh Dancy, John Lithgow, Denis O'Hare, Reid Scott, Amy Ryan",Comedy Drama
